qid	docid	GPT-4o	Mistral-Small-Instruct-2409-Q6	Qwen2.5-14B-Instruct-Q8	Meta-Llama-3.1-8B-Instruct-Q8	Gemma-2-9B-it-Q8	Human	LLM_Majority	type
67	0mNhtLoAX7ohgCqR16wmrc_1920	3	3	2	3	2	2	3	topical
74	21TFMd9ZqIWLRStMRFzwkW_0	1	2	2	2	2	0	2	topical
104	5tpPQb8eu0cRMuoaypEtTs_2160	0	0	0	0	0	0	0	known-item
91	6cGHQeGaDqjY79AcuRQrR8_1920	0	0	1	0	0	0	0	topical
83	3yXQi1ITieZWRnjwaWdmg4_180	2	2	2	1	2	1	2	topical
93	7CeT9asmGU3iXeveJ0wftA_900	1	1	2	0	1	0	1	topical
81	4c499WO3Pet2D27TUjHm7Q_240	3	2	3	3	2	0	3	topical
103	5Q10fwVyQhjNYLAGibvexV_60	0	0	1	0	1	0	0	known-item
81	0RX815VvLA58O8UYjGjBNE_1920	2	1	2	3	1	0	2	topical
99	4qOEIDxP6HhWXFIy2NPE8z_2400	0	0	0	0	0	0	0	known-item
99	7v0BzZx6cicwH8N8fdO7WV_120	0	0	0	0	0	0	0	known-item
74	2p0rcjO0FpNddO6ILsRQyk_2100	1	3	2	0	2	0	2	topical
89	1kZt3APZqyOJgMELvOF3Xl_120	3	3	3	3	3	3	3	topical
94	4pKuJY7LlgbWuw7DEyUZjm_240	0	0	1	0	1	0	0	topical
82	4DjBU4UQU6TncIYA6YuIO6_120	3	3	3	3	3	1	3	topical
74	5XFiJJ7UFOX2EpByAmTME5_60	1	3	3	2	3	1	3	topical
84	2W7hBwdA5vxTxzipFYZ0Et_1440	0	0	0	0	0	0	0	topical
60	51GGztTTBotqgBfHrzcDcc_3120	1	1	2	2	1	0	1	topical
71	4TFBj7sBa9QdP5rb4JXcpC_120	1	1	2	0	2	1	1	topical
63	432ovPqxbhYRKYpc791tP9_1140	0	0	0	0	0	0	0	topical
79	0ud02EYaD4soY9VaoEnBkg_1560	0	0	2	0	1	0	0	topical
91	2HYcfA34687Oxq5HJC7mll_840	1	1	2	3	1	0	1	topical
82	29JZJhy0fvw1LHxPUfjnft_1800	2	2	2	3	1	0	2	topical
82	4uUY7eYtXVgiCwf88diVNO_4200	3	3	3	2	3	0	3	topical
78	3RGr9reElZMloCWtmmkBSS_3240	3	3	3	3	2	1	3	topical
88	7dFZoji9vCeeedsoQo0hNT_720	2	2	3	2	2	1	2	topical
89	3B0vtzKcvaA8fnTrpLa26R_4800	0	0	1	0	1	0	0	topical
70	433Kk68qy5mvGOX92GUmu5_1020	0	1	1	0	0	0	0	topical
71	0KciKMw0g1pSriuIxVDDlc_240	2	2	2	0	2	2	2	topical
76	2rzyLDzi50nI7OcWxfcnsF_0	0	0	0	0	1	0	0	topical
63	5SoqQ39B8DayieMQKFbtVP_1140	0	0	0	0	0	0	0	topical
100	06GXjhcXkntOQpe24G8shl_0	0	0	0	0	0	0	0	known-item
62	1XF2cdWDNinKC6MLZfuvag_3660	0	0	1	0	1	1	0	topical
91	42gMg0yfIBdTdgDCuhH4n0_120	1	1	2	1	1	0	1	topical
102	6zBfcK47MNZNkCBbWmE8qW_2280	2	2	2	2	3	3	2	known-item
92	0ofqPOfPHzwLLje9nHgSsb_1440	0	0	1	0	1	0	0	topical
96	52JOs5tKm72Iq6FYNfD5do_480	0	0	0	0	0	1	0	topical
75	2xS9vtPN0OoKj7yYMowAeH_120	2	3	2	3	2	0	2	topical
59	3PF2msJuP3ncGgixaWaTlr_60	0	0	0	0	0	0	0	topical
89	0ERLUG9G6ozKNjji4cE7Mi_420	0	0	1	0	2	0	0	topical
63	211B18AxHNMdAnNx6zEl3u_120	0	0	0	0	0	0	0	topical
64	4JtC3rMdkKHLCeauqHpVEq_1200	1	1	2	3	1	1	1	topical
83	6ED0dszyWHiTy0X8L7txEL_0	1	0	0	0	1	0	0	topical
90	5DMm6uU86aVc1iqv0iEhYL_240	0	0	0	0	1	0	0	topical
67	1vc38whz82mu0pTLlkWDfp_1020	0	0	0	0	0	0	0	topical
81	2jXV8HHnSwJ9Eqgh2a7EN0_2820	2	0	1	2	1	0	2	topical
94	7yhJY2KJf7YBzGgPJvmHf7_2460	1	3	2	3	3	2	3	topical
76	2rzyLDzi50nI7OcWxfcnsF_360	0	0	1	2	1	1	0	topical
88	4pApSr58GMIub9QdmrO1ok_1140	2	2	2	0	2	0	2	topical
69	0dGyimu7Hs3ayW1YWKH5sC_180	0	0	0	0	0	0	0	topical
75	0eTfw2Rs3pVoN1fnFTDQKI_3840	1	1	2	2	2	1	2	topical
63	7sVSq3hpGZUHlzzD5ENlmY_0	2	2	2	2	2	0	2	topical
107	5uEnQbgBN93zqA81KFPlQ2_180	2	2	2	2	1	0	2	known-item
83	0VRO4eTTU67D5Ld0DQQp9k_0	0	0	1	2	1	0	0	topical
99	412Gc96LYO5qC5IxQctxeK_120	0	2	2	0	1	0	2	known-item
66	4SzEifePldrWHYIU2aijkK_3240	2	2	2	0	2	1	2	topical
83	34dWrLXL4JUdbZdzNSZ5UD_120	0	0	0	0	1	0	0	topical
88	54GfuZvA2t3amfFJpURATw_2280	2	2	2	2	2	0	2	topical
81	2HeKESPaYnGD8pVhWcFXCb_300	3	3	3	3	2	0	3	topical
79	5BbrteVCzHoduODAAWh8DG_2580	2	2	2	0	2	0	2	topical
100	59OkZwZTPuCH2BKc7RGPXn_360	0	0	0	0	0	0	0	known-item
91	0c7WPTfn9zuAYS3MO6CqU8_2520	0	0	0	0	0	0	0	topical
63	5bbBl5OlxODGmvdm1tAoKt_600	1	1	2	0	2	0	1	topical
65	53WXf9JzfuFdm7yHOtAnO0_2160	0	0	0	0	1	0	0	topical
86	1i50URJR6vuWrvsw4hjnoR_2160	2	3	2	3	2	0	2	topical
66	2lPOE5faaxP8ZWhYIubEMw_540	2	2	1	1	2	2	2	topical
90	4TY1l73DwvWoPhM8pkixjp_60	0	0	1	0	1	0	0	topical
72	1MdQcDFy0MfQARn4fe7YU5_660	3	1	2	0	2	0	2	topical
91	5J2uz0cOuepm59OPKf61N8_1560	0	0	0	1	0	0	0	topical
93	4APqlgp2PvycaCM2YHzwEI_840	3	3	3	3	2	0	3	topical
92	0eSSgwIBtu15NjPc3pL8pb_2880	0	0	1	0	1	0	0	topical
91	59YiH1chYIWsTIeVV7zsID_2160	1	1	2	1	1	0	1	topical
80	75HBynuT1Mfga5GNADIgag_300	3	1	2	2	2	1	2	topical
96	3IbMfNFugqHTCs9AZx3IpN_1260	0	0	0	0	0	0	0	topical
73	0ALfo44VQBfvxyEq12whoz_1080	2	2	2	2	2	1	2	topical
